article_id,Date,Headline,Snippet,Article_Sentiment_Score,Number_of_Sentiment_Words,Average_Article_Sentiment
1,2025-06-19T07:02:49Z,Parr Mcknight Wealth Management Group LLC Buys New Shares in Apple Inc. (NASDAQ:AAPL),"Parr Mcknight Wealth Management Group LLC bought a new stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the 4th quarter, Holdings Channel reports. The firm bought 133,888 shares of thâ€¦ [+5903 chars]",1,1,1
2,2025-06-19T07:34:55Z,"35,987 Shares in Apple Inc. (NASDAQ:AAPL) Acquired by Kingstone Capital Partners Texas LLC","Kingstone Capital Partners Texas LLC bought a new stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the fourth quarter, Holdings Channel reports. The institutional investor bought 35,987 shares â€¦ [+5875 chars]",1,1,1
3,2025-06-19T07:02:52Z,"Richmond Investment Services LLC Purchases Shares of 9,549 Apple Inc. (NASDAQ:AAPL)","Richmond Investment Services LLC purchased a new stake in Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the fourth quarter, according to its most recent filing with the SEC. The fund purchased 9,549 â€¦ [+6854 chars]",1,1,1
4,2025-06-19T07:02:55Z,Auxier Asset Management Sells 493 Shares of Apple Inc. (NASDAQ:AAPL),"Auxier Asset Management lessened its position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 1.8% in the fourth quarter, HoldingsChannel reports. The fund owned 26,952 shares of the iPhone maâ€¦ [+6205 chars]",1,1,1
5,2025-06-19T07:02:58Z,Apple Inc. (NASDAQ:AAPL) Stock Holdings Boosted by Orin Green Financial LLC,"Orin Green Financial LLC lifted its position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 18.2% in the 4th quarter, according to its most recent disclosure with the SEC. The fund owned 13,3â€¦ [+6698 chars]",1,1,1
6,2025-06-19T00:00:00Z,Ready for an iPhone upgrade? Here's why you (probably) don't need to buy a Pro,"At the risk of sounding like someone whoâ€™s old before his time, I have a fairly substantial list of tech pet peeves.
At the lower end of the scale, I donâ€™t understand folks who hold their phone at aâ€¦ [+4680 chars]",1,3,0.3333333333333333
7,2025-06-19T07:02:55Z,Drucker Wealth 3.0 LLC Has $16.82 Million Stock Position in Apple Inc. (NASDAQ:AAPL),"Drucker Wealth 3.0 LLC grew its holdings in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 4.9% in the fourth quarter, according to the company in its most recent 13F filing with the SEC. The institutionaâ€¦ [+6160 chars]",1,1,1
8,2025-06-19T13:35:00Z,"Rumor Replay: Siriâ€™s AI upgrades, iPhone Fold, AirPods Pro 3 timing, more","This is Rumor Replay, a weekly column at 9to5Mac offering a quick rundown of the most recent Apple product rumors, with analysis and commentary. Today: Siris AI upgrade timing, iPhone Fold updates, Aâ€¦ [+3693 chars]",-3,3,-1
9,2025-06-19T07:02:49Z,GF Fund Management CO. LTD. Invests $374.44 Million in Apple Inc. (NASDAQ:AAPL),"GF Fund Management CO. LTD. bought a new position in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) in the 4th quarter, HoldingsChannel reports. The institutional investor bought 1,495,258 shares oâ€¦ [+5972 chars]",1,1,1
10,2025-06-19T07:34:55Z,Blue Sky Capital Consultants Group Inc. Takes $8.30 Million Position in Apple Inc. (NASDAQ:AAPL),"Blue Sky Capital Consultants Group Inc. purchased a new stake in shares of Apple Inc. (NASDAQ:AAPL â€“ Free Report) during the fourth quarter, according to its most recent Form 13F filing with the Secuâ€¦ [+6663 chars]",1,1,1
11,2025-06-19T07:34:55Z,Apple Inc. (NASDAQ:AAPL) Position Lessened by Westfuller Advisors LLC,"Westfuller Advisors LLC reduced its position in Apple Inc. (NASDAQ:AAPL â€“ Free Report) by 0.3% in the 4th quarter, Holdings Channel reports. The institutional investor owned 19,231 shares of the iPhoâ€¦ [+6155 chars]",1,1,1
